Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,145.899994,146.710007,143.630005,144.699997,144.699997,28993730
2016-06-02,144.860001,145.639999,142.850006,144.000000,144.000000,23755310
2016-06-03,144.350006,145.429993,142.699997,143.410004,143.410004,33546300
2016-06-06,144.330002,147.000000,144.229996,146.399994,146.399994,21152730
2016-06-07,146.429993,148.899994,146.000000,147.750000,147.750000,25129620
2016-06-08,148.039993,149.139999,145.429993,146.949997,146.949997,29358210
2016-06-09,147.000000,147.000000,144.250000,144.979996,144.979996,18917400
2016-06-10,144.699997,144.750000,142.440002,142.440002,142.440002,22263610
2016-06-14,142.350006,143.130005,140.380005,141.839996,141.839996,24082020
2016-06-15,141.899994,142.600006,140.190002,141.570007,141.570007,31129560
2016-06-16,141.000000,141.550003,138.399994,139.500000,139.500000,30703970
2016-06-17,140.279999,142.250000,139.320007,139.320007,139.320007,32467330
2016-06-20,141.139999,143.639999,141.070007,142.970001,142.970001,20521080
2016-06-21,142.979996,143.850006,141.199997,143.539993,143.539993,22044020
2016-06-22,143.699997,144.199997,142.690002,143.000000,143.000000,19383470
2016-06-23,143.000000,144.199997,141.339996,144.199997,144.199997,19912990
2016-06-24,139.809998,141.289993,136.869995,141.250000,141.250000,46794930
2016-06-27,141.029999,141.740005,138.520004,138.520004,138.520004,23931190
2016-06-28,139.199997,140.119995,138.550003,139.240005,139.240005,22658400
2016-06-29,139.600006,140.830002,139.199997,140.000000,140.000000,17156160
2016-06-30,140.009995,141.889999,139.429993,139.509995,139.509995,24651740
2016-07-01,139.809998,140.789993,138.919998,140.050003,140.050003,15593930
2016-07-04,140.750000,142.350006,140.089996,141.600006,141.600006,19175690
2016-07-05,141.699997,141.800003,139.899994,140.949997,140.949997,16935850
2016-07-06,140.940002,141.149994,139.199997,139.990005,139.990005,19126440
2016-07-07,140.309998,141.850006,139.750000,140.369995,140.369995,23355290
2016-07-08,139.520004,140.899994,138.839996,140.270004,140.270004,21914480
2016-07-11,140.800003,141.500000,140.330002,141.399994,141.399994,16687140
2016-07-12,141.600006,142.899994,141.380005,142.119995,142.119995,30379740
2016-07-13,142.009995,144.139999,141.800003,143.600006,143.600006,28019780
2016-07-14,143.509995,144.240005,142.520004,144.199997,144.199997,24796100
2016-07-15,143.949997,147.369995,143.699997,147.369995,147.369995,39498930
2016-07-18,147.399994,148.250000,145.119995,145.839996,145.839996,32925040
2016-07-19,139.009995,140.000000,138.179993,139.479996,139.479996,39283560
2016-07-20,139.479996,139.949997,137.820007,139.259995,139.259995,23904470
2016-07-21,140.000000,140.949997,139.110001,140.100006,140.100006,17373003
2016-07-22,139.699997,141.300003,139.699997,140.600006,140.600006,14583890
2016-07-25,140.600006,141.979996,139.899994,140.699997,140.699997,17780960
2016-07-26,140.940002,141.110001,139.529999,140.690002,140.690002,17813320
2016-07-27,140.199997,140.850006,138.350006,139.500000,139.500000,25875420
2016-07-28,139.050003,140.460007,138.610001,139.899994,139.899994,24843310
2016-07-29,139.500000,139.639999,136.539993,137.300003,137.300003,35665920
2016-08-01,137.729996,138.690002,136.649994,136.929993,136.929993,20364090
2016-08-02,137.000000,137.100006,134.199997,134.500000,134.500000,26031460
2016-08-03,134.500000,134.899994,133.199997,134.039993,134.039993,25418420
2016-08-04,134.899994,136.699997,134.889999,136.699997,136.699997,25755030
2016-08-05,136.600006,137.330002,134.649994,135.500000,135.500000,23427500
2016-08-08,136.000000,137.500000,135.720001,137.470001,137.470001,22224000
2016-08-09,137.110001,138.389999,136.929993,137.339996,137.339996,22343320
2016-08-10,137.389999,138.649994,137.000000,137.399994,137.399994,21443520
2016-08-11,137.039993,137.490005,136.050003,137.190002,137.190002,23170070
2016-08-12,137.399994,138.399994,137.029999,137.830002,137.830002,20691860
2016-08-15,138.039993,138.699997,137.369995,138.000000,138.000000,20766230
2016-08-16,138.000000,139.369995,137.179993,137.990005,137.990005,28998930
2016-08-17,137.990005,137.990005,136.259995,137.679993,137.679993,18190650
2016-08-18,137.500000,138.490005,137.330002,138.399994,138.399994,19280130
2016-08-19,138.490005,138.779999,136.800003,136.800003,136.800003,15219750
2016-08-22,136.779999,137.809998,136.039993,137.800003,137.800003,13095310
2016-08-23,137.300003,137.899994,136.759995,137.369995,137.369995,14107540
2016-08-24,137.240005,137.429993,136.259995,137.000000,137.000000,13517300
2016-08-25,136.500000,136.740005,134.500000,135.419998,135.419998,21017260
2016-08-26,135.199997,136.399994,134.320007,136.199997,136.199997,20889750
2016-08-29,135.429993,136.199997,134.500000,136.199997,136.199997,10447260
2016-08-30,136.199997,136.839996,135.500000,135.589996,135.589996,16268490
2016-08-31,135.550003,135.809998,134.000000,134.949997,134.949997,30193350
2016-09-01,135.009995,135.869995,134.270004,134.990005,134.990005,21063240
2016-09-02,135.289993,136.350006,134.800003,135.550003,135.550003,15681030
2016-09-05,136.279999,137.190002,135.759995,136.050003,136.050003,23213580
2016-09-06,136.869995,141.399994,136.610001,141.399994,141.399994,60304290
2016-09-07,141.800003,143.449997,141.419998,143.080002,143.080002,49380140
2016-09-08,143.660004,143.830002,140.770004,141.449997,141.449997,29185840
2016-09-09,140.899994,140.899994,138.539993,138.539993,138.539993,24777160
2016-09-12,137.500000,139.589996,136.529999,138.929993,138.929993,26235340
2016-09-13,138.759995,139.720001,138.000000,138.449997,138.449997,16246740
2016-09-14,138.169998,139.570007,137.639999,139.350006,139.350006,22844118
2016-09-15,139.250000,139.250000,136.550003,137.600006,137.600006,24149280
2016-09-16,137.699997,138.000000,134.729996,136.470001,136.470001,28905820
2016-09-19,136.869995,138.149994,136.119995,136.589996,136.589996,16822930
2016-09-20,136.199997,137.020004,135.179993,137.000000,137.000000,18103450
2016-09-21,137.210007,137.479996,135.500000,136.250000,136.250000,15958010
2016-09-22,136.889999,137.050003,135.229996,136.699997,136.699997,29028250
2016-09-23,136.199997,137.839996,135.259995,136.699997,136.699997,29107690
2016-09-26,136.389999,136.389999,134.800003,135.259995,135.259995,25534272
2016-09-27,135.509995,135.580002,133.880005,133.919998,133.919998,24102940
2016-09-28,134.580002,134.899994,133.570007,134.089996,134.089996,19265587
2016-09-29,135.399994,136.800003,135.000000,135.309998,135.309998,23908790
2016-09-30,135.000000,135.949997,134.259995,134.899994,134.899994,23734575
2016-10-03,135.100006,136.690002,134.800003,135.369995,135.369995,19622730
2016-10-04,135.500000,136.750000,135.050003,136.229996,136.229996,19669677
2016-10-05,136.309998,136.320007,134.250000,134.800003,134.800003,21501021
